Genes,F:\massdata\20240930TPP\m\20240930_tpp_m_01.raw,F:\massdata\20240930TPP\m\20240930_tpp_m_02.raw,F:\massdata\20240930TPP\m\20240930_tpp_m_03.raw,F:\massdata\20240930TPP\m\20240930_tpp_m_04.raw,F:\massdata\20240930TPP\m\20240930_tpp_m_05.raw,F:\massdata\20240930TPP\m\20240930_tpp_m_06.raw,F:\massdata\20240930TPP\m\20240930_tpp_m_07.raw,F:\massdata\20240930TPP\m\20240930_tpp_m_08.raw,
ABCA2,1640000,1160000,779337,486465,314531,0,0,0
ABHD17B,1440000,1190000,1200000,976907,862309,0,0,0
ABITRAM,686359,525459,393333,435387,220692,0,0,0
ABT1,776308,618531,472868,323234,171914,0,0,0
ACOT11,4400000,3960000,2030000,1470000,839767,0,0,0
ACOT4,939362,826050,425918,409768,159628,0,0,0
ACSS2,9720000,8670000,6640000,4980000,2840000,0,0,0
ADGRF1,592158,592158,288717,288717,288717,266754,250320,224127
AGPAT2,9070000,6710000,3620000,3540000,803258,803258,0,0
AGTPBP1,992992,704982,1050000,843594,392314,0,0,0
AKTIP,510460,698095,329479,373924,203405,0,0,0
ALDH1L1,1320000,1270000,870216,686127,426504,0,0,0
ALDH3B1,2170000,1270000,859172,626071,322230,0,0,0
ALG11,1630000,1190000,621482,735623,369158,0,0,0
ANAPC16,167794,167794,167794,283460,208829,383116,211298,211298
ANAPC5,2140000,1800000,997932,1070000,758212,0,0,0
ANKRD28,6180000,5190000,3640000,3160000,2020000,0,0,0
ANKRD50,238622,316915,356477,81083.5,81083.5,81083.5,81083.5,291729
ARHGAP26,1230000,902496,484570,433229,212468,0,0,0
ARHGAP5,4930000,4770000,4250000,2770000,1250000,0,0,0
ARL2BP,1430000,1980000,1330000,1330000,1480000,1400000,0,0
ARL5B,1960000,1640000,1620000,1260000,260794,260794,260794,0
ARRB2,818389,684378,470674,344765,213358,0,0,0
ATAD3B,1920000,2070000,1260000,1230000,450680,0,0,0
ATG2B,134420,194132,109818,99812.8,47894,47894,0,0
ATP11B,10300000,10100000,9370000,4310000,3730000,0,0,0
BAP1,1160000,1270000,1230000,847166,1190000,0,0,0
BAZ1A,1910000,1620000,1220000,620561,418716,0,0,0
BCL2L12,443874,443874,443874,445926,409184,297859,203799,0
BICRA,530084,428268,161883,161883,360224,79030,79030,0
BRD7,1110000,741328,700600,555390,400196,0,0,0
BTBD1,582910,381270,320614,101085,99900.2,0,0,0
C17orf80,3690000,3690000,3690000,3690000,4660000,4830000,685300,259606
C6orf136,502702,546809,738783,700586,188503,188503,188503,0
C9orf85,3100000,2390000,1540000,1540000,1540000,1540000,1840000,1660000
CAB39L,10900000,9240000,7140000,7520000,5260000,0,0,0
CABIN1,1100000,818260,375910,608023,304424,304424,304424,304424
CAPN5,101000000,83700000,34600000,29600000,12700000,0,0,0
CASP14,390416,553273,553273,236751,1520000,1520000,1520000,333855
CAVIN1,92745.5,68891.5,236715,236715,236715,230316,215793,215793
CCNB2,2100000,1410000,1710000,1820000,1430000,0,0,0
CDC23,3810000,1940000,1070000,881346,599035,0,0,0
CDC26,552766,552766,552766,552766,513622,601109,565779,1100000
CDC40,740979,730329,850905,664052,623995,0,0,0
CDCA3,490171,449412,449412,449412,527653,527653,642002,691953
CFAP97,503658,503658,503658,503658,734223,714111,705116,623261
CHAC2,1340000,1010000,1530000,1530000,1530000,1230000,0,0
CHD1L,3070000,2860000,1660000,1280000,895249,0,0,0
CHD7,765100,633938,397478,397478,397478,397478,299077,507360
CHKB,66140,66140,66140,100298,114010,159001,97368.5,0
CHML,1120000,1120000,1230000,1090000,1090000,726354,400785,0
CLN3,3120000,922545,989686,634384,634384,241386,241386,0
CLYBL,853112,645503,527430,286856,436074,0,0,0
COP1,645643,543787,395336,430994,325394,0,0,0
COQ4,1530000,1630000,859776,923531,501288,0,0,0
COX18,2560000,1820000,1260000,602588,871108,0,0,0
CREG1,3100000,3100000,3430000,3430000,3430000,6700000,14600000,16600000
CRIM1,817597,1060000,545534,545534,781567,781567,781567,876801
CROT,658609,565537,581806,327689,252606,0,0,0
CSNK1G2,1580000,1190000,1110000,689726,419192,0,0,0
CTDSP1,7870000,6880000,5150000,3350000,866136,866136,866136,0
CTNNBIP1,69785.7,75009.9,47707,66833.8,66833.8,66833.8,66833.8,93467.6
CWC22,3020000,2560000,1200000,662906,573724,0,0,0
CXXC1,2120000,1250000,1090000,490973,194246,0,0,0
CYFIP2,1130000,901724,1220000,753067,474734,0,0,0
DDX18,4640000,3400000,1190000,1370000,449768,0,0,0
DENND10;DENND10P1,2030000,3300000,1790000,844779,357591,0,0,0
DENND11,7490000,5770000,2610000,2710000,1840000,0,0,0
DENND4A,772843,1320000,610192,499486,236278,0,0,0
DEPTOR,936072,809992,719557,528071,233457,0,0,0
